Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - USD;Flow
24-set-2024;;;;;;;8.266;;
23-set-2024;69,08;+0,36;+0,52%;69,06;68,85;69,65;3.656.096;253.020.299,00;12.350.529.402,30
20-set-2024;68,72;-0,45;-0,65%;68,72;68,27;69,02;3.218.593;221.159.904,00;12.097.509.103,30
19-set-2024;69,17;+1,00;+1,47%;69,12;68,81;69,63;4.057.702;281.149.052,00;12.318.669.007,30
18-set-2024;68,17;+0,02;+0,03%;68,37;67,97;68,74;3.039.792;207.321.122,00;12.037.519.955,30
17-set-2024;68,15;+0,09;+0,13%;67,94;67,85;68,33;3.836.071;261.273.460,00;11.830.198.833,30
16-set-2024;68,06;+0,61;+0,90%;67,92;67,44;68,18;2.863.064;194.153.929,00;11.568.925.373,30
13-set-2024;67,45;+0,47;+0,70%;67,44;67,25;67,86;3.318.506;224.115.984,00;11.374.771.444,30
12-set-2024;66,98;+0,77;+1,16%;66,39;66,10;67,18;5.195.943;346.539.205,00;11.150.655.460,30
11-set-2024;66,21;+0,31;+0,47%;66,81;65,61;66,84;5.704.505;377.289.119,00;10.804.116.255,30
10-set-2024;65,90;-1,53;-2,27%;67,31;63,73;67,34;10.275.511;672.491.224,00;10.426.827.136,30
09-set-2024;67,43;+0,52;+0,78%;67,02;66,97;67,78;4.239.748;285.694.462,00;11.099.318.360,30
06-set-2024;66,91;-1,21;-1,78%;67,83;66,65;68,06;5.196.362;349.109.387,00;10.813.623.898,30
05-set-2024;68,12;-0,39;-0,57%;68,89;68,04;69,04;3.320.047;227.195.731,00;11.162.733.285,30
04-set-2024;68,51;-0,87;-1,25%;68,80;68,37;69,27;5.955.976;409.371.551,00;11.389.929.016,30
03-set-2024;69,38;-2,28;-3,18%;69,70;69,13;69,84;4.175.894;289.885.607,00;11.799.300.567,30
30-ago-2024;71,66;-0,86;-1,19%;71,09;70,81;71,67;3.847.106;274.124.462,00;12.089.186.174,30
29-ago-2024;72,52;+0,57;+0,79%;71,98;71,77;72,55;2.711.722;195.962.085,00;12.363.310.636,30
28-ago-2024;71,95;-0,69;-0,95%;71,71;71,47;72,14;2.986.711;214.677.060,00;12.167.348.551,30
27-ago-2024;72,64;-0,43;-0,59%;72,87;72,39;72,92;2.693.914;195.708.187,00;12.382.025.611,30
26-ago-2024;73,07;+0,64;+0,88%;72,93;72,87;73,40;2.252.030;164.629.037,00;12.577.733.798,30
23-ago-2024;72,43;+0,98;+1,37%;71,65;71,64;72,53;3.512.937;253.743.513,00;12.413.104.761,30
22-ago-2024;71,45;+0,16;+0,22%;71,13;71,05;71,57;2.094.303;149.445.383,00;12.159.361.248,30
21-ago-2024;71,29;-0,11;-0,15%;71,44;71,20;71,77;2.121.998;151.494.320,00;12.009.915.865,30
20-ago-2024;71,40;-1,47;-2,02%;72,55;71,33;72,55;3.722.995;267.092.270,00;12.161.410.185,30
19-ago-2024;72,87;+0,19;+0,26%;72,94;72,74;73,66;2.706.901;197.921.110,00;12.428.502.455,30
16-ago-2024;72,68;-0,49;-0,67%;72,36;72,15;72,74;3.021.388;218.934.807,00;12.230.581.345,30
15-ago-2024;73,17;+0,25;+0,34%;73,21;72,93;73,43;2.748.558;201.273.426,00;12.449.516.152,30
14-ago-2024;72,92;+0,62;+0,86%;72,78;72,57;73,01;2.422.763;176.382.163,00;12.248.242.726,30
13-ago-2024;72,30;-0,12;-0,17%;72,17;71,75;72,41;2.564.839;184.959.414,00;12.071.860.563,30
12-ago-2024;72,42;+0,54;+0,75%;72,14;72,03;72,57;2.561.235;185.319.180,00;12.256.819.977,30
09-ago-2024;71,88;+0,53;+0,74%;71,07;70,81;72,18;4.546.040;326.104.395,00;12.071.500.797,30
08-ago-2024;71,35;+0,69;+0,98%;70,84;70,81;71,66;2.501.145;178.358.985,00;11.745.396.402,30
07-ago-2024;70,66;+0,94;+1,35%;70,56;70,53;71,19;4.165.650;294.849.304,00;11.567.037.417,30
06-ago-2024;69,72;-0,27;-0,39%;68,64;68,54;70,06;6.474.368;451.234.876,00;11.272.188.113,30
05-ago-2024;69,99;-1,69;-2,36%;68,93;68,59;70,27;5.357.967;372.987.103,00;11.723.422.989,30
02-ago-2024;71,68;-1,26;-1,73%;71,96;71,11;72,19;4.216.225;302.091.928,00;12.096.410.092,30
01-ago-2024;72,94;-0,28;-0,38%;73,96;72,10;74,46;5.673.079;414.114.407,00;12.398.502.020,30
31-lug-2024;73,22;+1,25;+1,74%;73,31;72,97;73,53;4.189.661;306.839.968,00;12.812.616.427,30
30-lug-2024;71,97;+0,13;+0,18%;71,18;71,09;72,02;4.550.720;326.300.914,00;12.505.776.459,30
29-lug-2024;71,84;-0,21;-0,29%;72,26;71,37;72,27;2.222.286;159.364.736,00;12.179.475.545,30
26-lug-2024;72,05;-0,04;-0,06%;72,04;71,65;72,49;2.821.584;203.401.848,00;12.338.840.281,30
25-lug-2024;72,09;+0,91;+1,28%;71,12;70,82;72,56;5.122.833;367.219.900,00;12.542.242.129,30
24-lug-2024;71,18;-0,13;-0,18%;71,74;71,15;71,97;2.800.232;200.239.721,00;12.175.022.229,30
23-lug-2024;71,31;-0,90;-1,25%;71,77;70,98;71,78;2.851.808;203.413.159,00;12.375.261.950,30
22-lug-2024;72,21;-0,04;-0,06%;72,44;72,18;72,72;2.981.050;215.847.577,00;12.578.675.109,30
19-lug-2024;72,25;-1,00;-1,37%;72,77;72,22;72,96;3.878.567;281.256.878,00;12.794.522.686,30
18-lug-2024;73,25;-0,03;-0,04%;73,76;73,05;74,02;4.577.858;337.314.187,00;13.075.779.564,30
17-lug-2024;73,28;+0,60;+0,83%;73,10;72,92;73,49;2.393.805;175.300.831,00;13.413.093.751,30
16-lug-2024;72,68;-0,28;-0,38%;72,40;71,85;72,72;2.527.807;183.024.317,00;13.237.792.920,30
15-lug-2024;72,96;-0,12;-0,16%;73,38;72,94;73,41;2.373.637;173.667.655,00;13.420.817.237,30
12-lug-2024;73,08;+0,11;+0,15%;73,25;72,90;73,33;1.653.098;120.894.989,00;13.594.484.892,30
11-lug-2024;72,97;+0,04;+0,05%;72,78;72,46;73,00;2.302.791;167.666.817,00;13.473.589.903,30
10-lug-2024;72,93;+0,35;+0,48%;72,75;72,50;72,97;1.989.494;144.761.390,00;13.305.923.086,30
09-lug-2024;72,58;-0,14;-0,19%;72,60;72,42;73,02;2.648.559;192.536.780,00;13.161.161.696,30
08-lug-2024;72,72;-0,53;-0,72%;73,05;72,62;73,24;2.492.700;181.689.404,00;13.353.698.476,30
05-lug-2024;73,25;+0,24;+0,33%;73,94;73,10;73,94;3.754.645;275.696.894,00;13.535.387.880,30
03-lug-2024;73,01;-0,03;-0,04%;73,00;72,94;73,53;1.570.244;114.953.733,00;13.259.690.986,30
